timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1756493100,Aug 29 2025 - 6:45pm,complete,N/A,Lecce,AC Milan,N/A,2,0.00,0.00,0.33,2.33,0,2,2,0,0,0,"","86,66",4,5,1,0,0,0,0,1,0,0,7,14,2,6,5,8,10,8,45,55,0.00,0.00,0.87,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,3.95,1.58,1.28,1.91,3.22,5.90,1.99,1.85,Stadio Comunale Via del Mare
1756571400,Aug 30 2025 - 4:30pm,complete,N/A,Bologna,Como,N/A,2,0.00,0.00,3.00,1.33,1,0,1,0,0,0,"59","",7,4,4,0,3,0,2,2,2,1,15,13,2,2,13,11,13,19,36,64,0.00,0.00,1.38,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.19,2.98,1.36,2.25,3.54,7.10,1.80,1.85,Stadio Renato Dall'Ara
1756571400,Aug 30 2025 - 4:30pm,complete,N/A,Parma,Atalanta,N/A,2,0.00,0.00,1.33,1.67,1,1,2,0,0,0,"85","79",1,2,2,0,2,0,0,2,0,2,7,11,3,3,4,8,8,15,46,54,0.00,0.00,0.97,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.50,3.62,1.90,1.25,1.91,3.28,6.40,1.82,2.05,N/A
1756579500,Aug 30 2025 - 6:45pm,complete,N/A,Napoli,Cagliari,N/A,2,0.00,0.00,3.00,1.33,1,0,1,0,0,0,"90'5","",13,0,2,0,1,0,0,2,1,0,20,10,6,1,14,9,16,12,67,33,0.00,0.00,2.21,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.50,8.75,1.25,2.13,3.05,6.10,2.25,1.55,Stadio San Paolo
1756579500,Aug 30 2025 - 6:45pm,complete,N/A,Pisa,Roma,N/A,2,0.00,0.00,0.33,3.00,0,1,1,0,0,0,"","55",1,7,2,0,1,0,1,1,1,0,7,10,3,5,4,5,14,10,31,69,0.00,0.00,0.82,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.80,3.60,1.73,1.35,2.06,3.65,8.00,2.00,1.89,Arena Garibaldi - Stadio Romeo Anconetani
1756657800,Aug 31 2025 - 4:30pm,complete,N/A,Genoa,Juventus,N/A,2,1.00,0.00,0.33,2.00,0,1,1,0,0,0,"","73",3,4,1,0,2,0,0,1,1,1,10,13,1,3,9,10,14,15,44,56,0.70,0.00,0.96,1.33,0.00,0,0,0,0,0,0,0,0,0,3.00,2.00,5.25,3.26,1.80,1.53,2.50,4.70,9.50,2.20,1.62,Stadio Comunale Luigi Ferraris
1756657800,Aug 31 2025 - 4:30pm,complete,N/A,Torino,Fiorentina,N/A,2,0.00,1.00,0.50,1.00,0,0,0,0,0,0,"","",7,3,2,0,2,0,1,1,1,1,7,16,4,4,3,12,21,13,45,55,0.00,0.56,1.01,1.51,1.00,50,50,0,0,0,0,0,50,50,2.00,2.00,3.30,2.87,2.35,1.36,2.32,4.20,9.00,1.85,1.85,Stadio Olimpico Grande Torino
1756665900,Aug 31 2025 - 6:45pm,complete,N/A,Inter Milan,Udinese,N/A,2,3.00,0.00,2.25,2.00,1,2,3,3,1,2,"17","29,40",13,2,1,0,3,0,0,1,1,2,16,10,4,5,12,5,17,5,68,32,2.18,0.00,1.76,1.18,2.50,0,50,50,50,50,50,50,50,50,6.00,0.00,1.27,5.30,10.50,1.20,1.72,2.54,4.50,2.05,1.73,Stadio Giuseppe Meazza
1756665900,Aug 31 2025 - 6:45pm,complete,N/A,Lazio,Hellas Verona,N/A,2,0.00,1.00,1.33,0.33,4,0,4,3,3,0,"3,10,41,82","",8,1,0,0,0,0,0,0,0,0,22,12,6,4,16,8,8,19,70,30,0.00,0.96,2.12,1.25,1.00,50,50,0,0,0,0,0,50,50,1.00,2.00,1.50,3.80,6.20,1.36,2.12,3.62,8.50,2.26,1.67,Stadio Olimpico
1757768400,Sep 13 2025 - 1:00pm,complete,N/A,Cagliari,Parma,N/A,3,1.00,0.00,1.33,0.33,2,0,2,1,1,0,"33,77","",4,5,3,0,1,0,1,2,1,0,12,17,5,5,7,12,15,18,51,49,1.57,0.87,1.31,1.85,2.00,50,100,0,0,0,0,0,100,100,9.00,6.00,2.15,3.25,3.45,1.42,2.29,4.33,9.50,1.95,1.80,Sardegna Arena
