team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FC Internazionale Milano,Inter Milan,2025/2026,Italy,6,4,2,0,4,3,1,0,0,0,2,1,1,2,2.25,1.5,4,1,12,4,17,8,9,25,16,9,12,5,4,4,8,1,32,30,36,68,90,45,2,1,1,4,3,1,0,0,0,5,4,1,52,39,13,8,4,4,62,64,59,121,83,38,37,28,9,84,55,29,79,55,24,8,6,2,4,2,2,4,4,0,4,3,1,0,0,0,2,1,1,2,2.25,1.5,4.17,4,4.5,2.83,3,2.5,1.33,1,2,2,2,2,1.33,1.5,1,0.67,0.5,1,6,6,5,3,3,1,4,4,4,2,2,0,2,2,1,1,1,1,0,0,1,3,3,5,0,0,0,2,2,4,0,0,1,1,1,1,100,100,83,50,50,17,100,100,100,50,50,0,100,100,50,50,50,50,0,0,17,50,50,83,0,0,0,50,50,100,0,0,50,50,50,50,6,4,2,4,3,1,2,1,1,100,67,33,100,75,25,100,50,50,67,75,50,16,33,25,50,67,75,50,0,0,0,83,100,50,4,3,1,67,75,50,0,0,0,0,0,0,2,1,1,33,25,50,67,75,50,0,0,0,33,25,50,8.67,9.75,6.50,1.33,1,2.00,100,100,83,83,67,50,50,50,2.14,2.24,1.95,0.99,1.00,0.96,67,2,3,1,2,0,3,2,2,2,0,1,1,2,0,0,0,0,4,0,0,0,33,25,50,17
ACF Fiorentina,Fiorentina,2025/2026,Italy,6,3,3,0,0,0,0,3,0,3,3,3,0,0.5,0,1,17,20,13,17,4,8,-4,12,10,2,3,1,7,1,-4,0,134,90,273,68,39,273,2,0,2,4,3,1,2,0,2,3,2,1,24,13,11,11,6,5,51,46,57,72,38,34,14,7,7,58,31,27,91,49,42,2,2,0,4,4,0,-2,-2,0,1,1,0,3,0,3,2,2,0,1,1,1,2,3.33,0.67,0.67,1,0.33,1.33,2.33,0.33,1,2,0,0.33,0.67,0,0.67,1.33,0,4,4,3,1,0,0,3,3,3,1,0,0,1,1,0,0,0,0,2,2,3,5,6,6,0,0,0,2,3,3,2,2,3,3,3,3,67,67,50,17,0,0,100,100,100,33,0,0,33,33,0,0,0,0,33,33,50,83,100,100,0,0,0,67,100,100,67,67,100,100,100,100,3,2,1,3,2,1,0,0,0,50,33,17,100,67,33,0,0,0,0,0,0,-13,33,0,67,67,100,33,33,0,67,50,67,33,4,1,3,67,33,100,4,1,3,67,33,100,1,1,0,17,33,0,17,33,0,50,0,100,33,67,0,4.00,4.33,3.67,1.83,2,1.67,83,67,50,50,17,17,17,0,1.17,1.22,1.11,1.39,1.58,1.21,67,1,1,0,0,0,0,1,1,0,1,1,2,0,0,1,1,0,2,50,0,100,50,100,0,0
Parma Calcio 1913,Parma,2025/2026,Italy,6,3,3,0,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,14,13,18,14,3,7,-4,10,6,4,3,0,3,4,0,-4,180,90,0,77,90,68,1,0,1,2,2,0,4,1,3,1,1,0,23,9,14,9,6,3,47,49,44,70,30,40,17,7,10,53,23,30,73,34,39,1,1,0,2,1,1,-1,0,-1,1,1,0,3,1,2,2,1,1,1,1.33,0.67,1.67,2,1.33,0.5,1,0,1.17,1,1.33,0.5,0.67,0.33,0.17,0.33,0,0.33,0.33,0.33,5,4,1,0,0,0,3,2,1,0,0,0,2,2,0,0,0,0,1,2,5,6,6,6,0,1,2,3,3,3,1,1,3,3,3,3,83,67,17,0,0,0,100,67,33,0,0,0,67,67,0,0,0,0,17,33,83,100,100,100,0,33,67,100,100,100,33,33,100,100,100,100,3,0,0,2,0,0,1,0,0,50,0,0,67,0,0,33,0,0,17,33,0,58,17,0,33,33,67,0,67,33,100,17,33,0,4,2,2,67,67,67,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,50,33,67,33,33,33,3.83,3.00,4.67,1.5,2,1.00,67,50,50,33,33,33,17,0,1.24,1.09,1.40,1.34,1.23,1.45,33,0,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,2,1,33,33,33,50,33,67,0
AC Pisa 1909,Pisa,2025/2026,Italy,6,3,3,0,0,0,0,2,1,1,4,2,2,0.33,0.33,0.33,20,16,19,20,3,10,-7,13,2,11,0,3,2,8,-2,-5,180,0,90,54,134,34,1,1,0,2,0,2,4,3,1,1,0,1,22,13,9,8,3,5,37,40,33,58,30,28,14,6,8,44,24,20,82,42,40,1,0,1,5,1,4,-4,-1,-3,1,0,1,2,2,0,3,1,2,0.83,0.67,1,2.17,0.67,3.67,0.5,0,1,1.67,0.67,2.67,1,0.33,1.67,0.17,0,0.33,0.83,0.33,1.33,5,3,2,2,1,0,2,0,0,0,0,0,3,3,2,2,1,0,1,3,4,4,5,6,1,3,3,3,3,3,0,0,1,1,2,3,83,50,33,33,17,0,67,0,0,0,0,0,100,100,67,67,33,0,17,50,67,67,83,100,33,100,100,100,100,100,0,0,33,33,67,100,4,1,1,1,0,0,3,1,1,67,17,17,33,0,0,100,33,33,0,0,0,-20,17,33,0,33,0,67,67,100,33,17,0,33,3,2,1,50,67,33,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,33,67,0,50,33,67,3.67,4.33,3.00,1.33,1,1.67,83,83,50,50,33,33,33,33,0.99,1.03,0.95,1.77,1.36,2.18,67,0,0,1,0,0,1,0,0,1,0,1,1,3,1,2,0,1,1,33,33,33,67,67,67,0
US Cremonese,Cremonese,2025/2026,Italy,6,2,4,0,2,1,1,3,1,2,1,0,1,1.5,2,1.25,10,11,6,10,7,8,-1,15,5,10,3,4,2,6,1,-2,77,60,90,68,90,60,2,1,1,4,1,3,2,1,1,2,1,1,15,8,7,13,3,10,43,47,42,36,14,22,16,7,9,20,7,13,70,28,42,3,2,1,4,0,4,-1,2,-3,1,1,0,3,1,2,2,0,2,1,2,0.5,2.5,2.5,2.5,1.17,1.5,1,1.33,1,1.5,1.17,1,1.25,0.5,1,0.25,0.67,0,1,4,4,3,2,2,0,1,1,1,1,1,0,3,3,2,1,1,0,2,2,3,4,4,6,1,1,1,1,1,2,1,1,2,3,3,4,67,67,50,33,33,0,50,50,50,50,50,0,75,75,50,25,25,0,33,33,50,67,67,100,50,50,50,50,50,100,25,25,50,75,75,100,4,3,0,1,1,0,3,2,0,67,50,0,50,50,0,75,50,0,33,50,25,27,33,50,25,67,50,75,33,50,25,33,50,25,3,2,1,50,100,25,4,1,3,67,50,75,1,0,1,17,0,25,17,50,0,50,50,50,33,0,50,2.50,4.00,1.75,2.17,1.5,2.50,83,67,67,50,50,17,17,17,0.77,0.92,0.69,1.95,1.35,2.25,50,0,0,1,2,0,0,2,0,2,1,0,0,2,1,2,1,1,0,50,50,50,17,0,25,0
Atalanta Bergamasca Calcio,Atalanta,2025/2026,Italy,6,3,3,0,2,1,1,4,2,2,0,0,0,1.67,1.67,1.67,6,8,5,6,11,5,6,16,9,7,6,5,3,2,3,3,49,45,54,108,90,134,1,0,1,5,3,2,0,0,0,5,2,3,33,26,7,8,3,5,54,58,49,88,56,32,28,18,10,60,38,22,62,31,31,6,2,4,2,2,0,4,0,4,3,1,2,2,1,1,1,1,0,1.83,1.33,2.33,2.67,3,2.33,1.83,2,1.67,0.83,1,0.67,1.33,1.33,1.33,1,0.67,1.33,0.33,0.67,0,6,6,2,1,1,0,3,3,1,1,1,0,3,3,1,0,0,0,0,0,4,5,5,6,0,0,2,2,2,3,0,0,2,3,3,3,100,100,33,17,17,0,100,100,33,33,33,0,100,100,33,0,0,0,0,0,67,83,83,100,0,0,67,67,67,100,0,0,67,100,100,100,5,2,1,3,1,0,2,1,1,83,33,17,100,33,0,67,33,33,33,33,33,-6,17,0,33,83,100,67,0,0,0,83,67,100,4,1,3,67,33,100,2,1,1,33,33,33,1,1,0,17,33,0,50,33,67,33,33,33,17,33,0,5.50,8.67,2.33,1.33,1,1.67,67,67,67,67,50,33,33,33,1.57,2.03,1.11,1.48,1.24,1.72,117,1,0,1,3,2,1,1,2,0,0,1,1,0,0,0,0,1,2,67,67,67,0,0,0,17
Udinese Calcio,Udinese,2025/2026,Italy,6,3,3,0,2,0,2,2,2,0,2,1,1,1.33,0.67,2,12,15,4,12,6,9,-3,15,7,8,2,4,5,4,-3,0,90,134,68,60,54,68,1,0,1,4,2,2,1,1,0,2,1,1,26,13,13,14,6,8,50,54,46,82,47,35,25,12,13,57,35,22,75,33,42,3,0,3,5,2,3,-2,-2,0,2,0,2,1,1,0,3,2,1,1.17,0.33,2,2.5,2.33,2.67,1,0.67,1.33,1.5,1.67,1.33,1.33,0.67,2,0.5,0,1,0.83,0.67,1,6,5,3,1,0,0,3,3,1,0,0,0,3,2,2,1,0,0,0,1,3,5,6,6,0,0,2,3,3,3,0,1,1,2,3,3,100,83,50,17,0,0,100,100,33,0,0,0,100,67,67,33,0,0,0,17,50,83,100,100,0,0,67,100,100,100,0,33,33,67,100,100,5,2,1,2,0,0,3,2,1,83,33,17,67,0,0,100,67,33,33,0,67,-22,17,0,33,67,67,67,17,33,0,33,33,33,2,1,1,33,33,33,4,3,1,67,100,33,1,0,1,17,0,33,33,0,67,17,33,0,50,67,33,4.33,4.33,4.33,2.33,2,2.67,50,50,50,33,33,33,33,33,1.47,1.64,1.30,1.25,1.08,1.42,83,0,1,1,1,0,3,0,0,0,1,2,1,1,1,1,0,1,1,33,67,0,33,33,33,17
Hellas Verona FC,Hellas Verona,2025/2026,Italy,6,3,3,0,0,0,0,3,2,1,3,1,2,0.5,0.67,0.33,18,14,20,18,2,9,-7,11,3,8,1,1,2,7,-1,-6,273,273,273,60,134,39,1,1,0,2,1,1,4,2,2,0,0,0,22,19,3,13,7,6,40,44,37,84,51,33,32,22,10,52,29,23,102,50,52,1,1,0,5,1,4,-4,0,-4,0,0,0,4,3,1,2,0,2,0.67,1,0.33,1.83,1,2.67,0.33,0.33,0.33,1.5,0.67,2.33,1,0.67,1.33,0.17,0.33,0,0.83,0.33,1.33,5,4,1,1,0,0,2,1,0,0,0,0,3,3,1,1,0,0,1,2,5,5,6,6,1,2,3,3,3,3,0,0,2,2,3,3,83,67,17,17,0,0,67,33,0,0,0,0,100,100,33,33,0,0,17,33,83,83,100,100,33,67,100,100,100,100,0,0,67,67,100,100,3,2,1,1,1,0,2,1,1,50,33,17,33,33,0,67,33,33,0,0,0,28,17,33,0,33,33,33,67,67,67,0,0,0,3,2,1,50,67,33,5,2,3,83,67,100,1,1,0,17,33,0,0,0,0,67,100,33,33,0,67,3.67,6.33,1.00,2.17,2.33,2.00,67,67,50,17,17,0,0,0,1.53,1.88,1.17,1.35,1.05,1.65,33,0,0,0,0,1,0,0,1,0,3,1,0,0,1,1,0,2,1,50,67,33,50,33,67,0
Calcio Como,Como,2025/2026,Italy,6,3,3,0,2,1,1,3,2,1,1,0,1,1.5,1.67,1.33,8,9,9,8,7,5,2,12,6,6,4,3,2,3,2,0,77,68,90,108,134,90,1,1,0,4,2,2,1,0,1,3,3,0,23,10,13,20,11,9,58,58,58,90,46,44,29,16,13,61,30,31,101,44,57,3,2,1,2,0,2,1,2,-1,2,2,0,3,1,2,1,0,1,1.5,2.33,0.67,2,2,2,1.17,1.33,1,0.83,0.67,1,0.83,0.67,1,0.5,0.67,0.33,0.33,0,0.67,6,5,1,0,0,0,3,3,0,0,0,0,3,2,1,0,0,0,0,1,5,6,6,6,0,0,3,3,3,3,0,1,2,3,3,3,100,83,17,0,0,0,100,100,0,0,0,0,100,67,33,0,0,0,0,17,83,100,100,100,0,0,100,100,100,100,0,33,67,100,100,100,4,1,0,2,0,0,2,1,0,67,17,0,67,0,0,67,33,0,33,33,33,17,17,33,0,67,67,67,17,0,33,50,100,0,4,3,1,67,100,33,3,1,2,50,33,67,1,0,1,17,0,33,33,67,0,50,33,67,17,0,33,3.83,3.33,4.33,3.33,3.67,3.00,83,67,33,33,33,0,0,0,1.58,1.63,1.54,1.12,0.97,1.27,0,0,2,0,1,1,0,1,1,1,2,0,0,0,0,1,1,0,1,50,67,33,17,0,33,0
US Lecce,Lecce,2025/2026,Italy,6,3,3,0,1,0,1,2,1,1,3,2,1,0.83,0.33,1.33,15,18,10,15,5,10,-5,15,9,6,3,2,6,4,-3,-2,108,90,134,54,45,68,2,0,2,3,2,1,2,1,1,3,2,1,29,11,18,12,7,5,42,43,40,56,30,26,17,11,6,39,19,20,69,33,36,3,2,1,3,2,1,0,0,0,1,0,1,4,3,1,1,0,1,1.17,1,1.33,2.5,3,2,0.83,1,0.67,1.67,2,1.33,1,1.33,0.67,0.5,0.67,0.33,0.5,0.67,0.33,5,4,3,2,1,0,3,3,2,1,0,0,2,1,1,1,1,0,1,2,3,4,5,6,0,0,1,2,3,3,1,2,2,2,2,3,83,67,50,33,17,0,100,100,67,33,0,0,67,33,33,33,33,0,17,33,50,67,83,100,0,0,33,67,100,100,33,67,67,67,67,100,4,2,0,2,2,0,2,0,0,67,33,0,67,67,0,67,0,0,17,0,33,0,33,0,67,50,67,33,33,33,33,50,67,33,3,1,2,50,33,67,3,1,2,50,33,67,2,2,0,33,67,0,17,0,33,67,100,33,17,0,33,4.83,3.67,6.00,2,2.33,1.67,100,100,100,83,50,33,17,0,1.09,1.16,1.02,1.47,1.61,1.33,33,1,1,0,1,0,0,0,0,2,0,0,0,2,1,1,2,3,1,33,33,33,50,67,33,0
